headtype,S,B,block,kernel,best_splits,median_ms,pct_of_sol,ratio_vs_flashinfer
64x8,512,1,16,v0,,0.2688960134983063,0.2328095215111855,0.08889681615817432
64x8,512,1,64,flashinfer,,0.0225600004196167,2.7748914483340057,1.0
64x8,512,1,64,v1,,0.07273600250482559,0.8606680334769942,0.3101627755542378
64x8,512,1,64,v2,16,0.02630399912595749,2.379925270641797,0.8576642780281226
64x8,512,1,64,v0,,0.26736000180244446,0.23414703701664022,0.08438061141354479
64x8,512,32,16,flashinfer,,0.04428799822926521,45.2323372411548,1.0
64x8,512,32,16,v1,,0.171424001455307,11.685934610294755,0.2583535435719706
64x8,512,32,16,v2,4,0.17260800302028656,11.605775147090656,0.25658137197763686
64x8,512,32,64,flashinfer,,0.044319998472929,45.19967826409992,1.0
64x8,512,32,64,v1,,0.17180800437927246,11.659815727907203,0.25796236114291266
64x8,512,32,64,v2,4,0.17177599668502808,11.661988347038903,0.2580104282800061
64x8,512,8,16,flashinfer,,0.027583999559283257,18.15590291154503,1.0
64x8,512,8,16,v1,,0.07702399790287018,6.502030945498165,0.35812214777617224
64x8,512,8,16,v2,8,0.05798399820923805,8.63707976989172,0.4757174463848641
64x8,512,8,16,v0,,0.2917439937591553,1.7166160353720448,0.0945486458996472
64x8,512,8,64,flashinfer,,0.027615999802947044,18.134864624999146,1.0
64x8,512,8,64,v1,,0.07680000364780426,6.520994715144993,0.3595833136882487
64x8,512,8,64,v2,8,0.057792000472545624,8.66577404857894,0.4778515984416591
64x8,512,8,64,v0,,0.29369598627090454,1.705206885083201,0.09402920398603645
64x8,8192,128,16,flashinfer,,1.3940479755401611,91.9681253691409,1.0
64x8,8192,128,16,v1,,8.949728012084961,14.325349196305556,0.15576428397128447
64x8,8192,128,16,v2,16,8.359007835388184,15.337702931955771,0.16677194267463238
64x8,8192,128,64,flashinfer,,1.3952640295028687,91.88796978501266,1.0
64x8,8192,128,64,v1,,8.980544090270996,14.276192811521046,0.15536520009009447
64x8,8192,128,64,v2,16,8.355839729309082,15.343518202649362,0.1669807074696296
64x8,8192,1,16,flashinfer,,0.030047999694943428,33.33416020998736,1.0
64x8,8192,1,16,v1,,1.3974720239639282,0.71674052764204,0.021501682452083944
64x8,8192,1,16,v2,32,0.10639999806880951,9.41376742481836,0.2824060172962711
64x8,8192,1,64,flashinfer,,0.029152000322937965,34.358700079760105,1.0
64x8,8192,1,64,v1,,1.2232639789581299,0.8188133167086245,0.02383132408408454
64x8,8192,1,64,v2,16,0.10940799862146378,9.154950720617565,0.26645218530867903
64x8,8192,32,16,flashinfer,,0.36633598804473877,87.49343715134617,1.0
64x8,8192,32,16,v1,,2.532032012939453,12.658605650510427,0.14468063048675947
64x8,8192,32,16,v2,16,2.1613759994506836,14.829439558140143,0.16949202181288378
64x8,8192,32,64,flashinfer,,0.36393600702285767,88.07041383035113,1.0
64x8,8192,32,64,v1,,2.562623977661133,12.507490379264308,0.14201693662252252
64x8,8192,32,64,v2,16,2.172096014022827,14.756251353229457,0.16755060764962712
64x8,8192,8,16,flashinfer,,0.11247999966144562,71.23931997408914,1.0
64x8,8192,8,16,v1,,1.9137279987335205,4.187114726789836,0.05877533261565038
64x8,8192,8,16,v2,32,0.5889919996261597,13.604596822457877,0.19097033530648638
64x8,8192,8,64,flashinfer,,0.11088000237941742,72.26730262096937,1.0
64x8,8192,8,64,v1,,1.9215680360794067,4.1700312120699925,0.05770287613945064
64x8,8192,8,64,v2,32,0.5889279842376709,13.606075617105326,0.18827429727752604
